Name,Dia (in),Width,Height + .2
0.3 mm,0.0118,0.8125,0.948031496
#80,0.0135,0.8125,0.95
0.35 mm,0.0138,0.8125,0.948031496
#79,0.0145,0.8125,0.95
1/64 in,0.0156,0.8125,0.95
0.4 mm,0.0157,0.8125,0.987401575
#78,0.0160,0.8125,1.075
0.45 mm,0.0177,0.8125,0.987401575
#77,0.0180,0.8125,1.075
0.5 mm,0.0197,0.8125,1.066141732
#76,0.0200,0.8125,1.075
#75,0.0210,0.8125,1.2
0.55 mm,0.0217,0.8125,1.14488189
#74,0.0225,0.8125,1.2
0.6 mm,0.0236,0.8125,1.14488189
#73,0.0240,0.8125,1.325
#72,0.0250,0.8125,1.325
0.65 mm,0.0256,0.8125,1.223622047
#71,0.0260,0.8125,1.45
0.7 mm,0.0276,0.8125,1.302362205
#70,0.0280,0.8125,1.45
#69,0.0292,0.8125,1.575
0.75 mm,0.0295,0.8125,1.302362205
#68,0.0310,0.8125,1.575
1/32 in,0.0312,0.8125,1.575
0.8 mm,0.0315,0.8125,1.381102362
#67,0.0320,0.8125,1.575
#66,0.0330,0.8125,1.575
0.85 mm,0.0335,0.8125,1.381102362
#65,0.0350,0.8125,1.7
0.9 mm,0.0354,0.8125,1.45984252
#64,0.0360,0.8125,1.7
#63,0.0370,0.8125,1.7
0.95 mm,0.0374,0.8125,1.45984252
#62,0.0380,0.8125,1.7
#61,0.0390,0.8125,1.825
1 mm,0.0394,0.8125,1.538582677
#60,0.0400,0.8125,1.825
#59,0.0410,0.8125,1.825
1.05 mm,0.0413,0.8125,1.538582677
#58,0.0420,0.8125,1.825
#57,0.0430,0.8125,1.95
1.1 mm,0.0433,0.8125,1.617322835
1.15 mm,0.0453,0.8125,1.617322835
#56,0.0465,0.8125,1.95
3/64 in,0.0469,0.8125,1.95
1.2 mm,0.0472,0.8125,1.696062992
1.25 mm,0.0492,0.8125,1.696062992
1.3 mm,0.0512,0.8125,1.696062992
#55,0.0520,0.8125,2.075
1.35 mm,0.0531,0.8125,1.77480315
#54,0.0550,0.8125,2.075
